Age,Sex,Job,Credit amount,Duration,Housing_own,Housing_rent,Saving accounts_moderate,Saving accounts_quite rich,Saving accounts_rich,Checking account_moderate,Checking account_rich,Purpose_car,Purpose_domestic appliances,Purpose_education,Purpose_furniture/equipment,Purpose_radio/TV,Purpose_repairs,Purpose_vacation/others,Risk_good
22,0,2,5951,48,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False
45,1,2,7882,42,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
53,1,2,4870,24,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
35,1,3,6948,36,False,True,False,False,False,True,False,True,False,False,False,False,False,False,True
28,1,3,5234,30,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False
25,0,2,1295,12,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False
24,0,2,4308,48,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
22,0,2,1567,12,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True
60,1,1,1199,24,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
28,0,2,1403,15,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True
32,0,1,1282,24,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False
44,0,3,12579,24,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False
44,1,2,2647,6,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True
48,1,1,2241,10,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True
44,1,2,1804,12,True,False,True,False,False,True,False,True,False,False,False,False,False,False,True
36,1,1,1374,6,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True
42,0,2,409,12,False,True,False,False,True,False,True,False,False,False,False,True,False,False,True
34,1,2,2415,7,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True
63,1,2,6836,60,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
36,1,2,1913,18,True,False,False,False,True,True,False,False,False,False,False,False,False,False,True
27,1,2,4020,24,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True
30,1,2,5866,18,True,False,True,False,False,True,False,True,False,False,False,False,False,False,True
33,0,3,1474,12,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True
25,1,1,4746,45,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False
37,1,2,2100,18,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False
37,1,2,1225,10,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True
24,1,2,458,9,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True
26,1,2,1158,12,True,False,False,True,False,True,False,False,False,False,False,True,False,False,True
44,1,1,6204,18,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True
24,1,2,6187,30,False,True,True,False,False,False,False,True,False,False,False,False,False,False,True
58,0,1,6143,48,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
23,0,0,1352,6,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True
30,1,3,5965,27,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True
57,1,2,2225,36,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False
23,0,3,1961,18,True,False,False,False,False,False,True,True,False,False,False,False,False,False,True
23,0,1,6229,36,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
27,1,2,1391,9,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True
